name,lat,lng,tag,distance
Oakland International Airport (OAK) (Oakland International Airport),37.7119363925842,-122.21341609954834,Airport,11.533783341891747
San Francisco International Airport (SFO) (San Francisco International Airport),37.6167130000997,-122.38709449768066,Airport,11.8820634661087
Kids by the Bay - Financial District,37.785471,-122.39803700000002,Daycare,0.2601060315122544
Bright Horizons,37.792097,-122.40374399999999,Daycare,0.29382635547295277
Marin Day Schools Fremont Street,37.78958194880583,-122.39511750429915,Daycare,0.3043701037251188
Atlas Tap Room,37.787879683527684,-122.40002652251776,Nightlife Spot,0.06166116188982341
Sutter Station,37.7899599,-122.4009151,Nightlife Spot,0.09121767625818365
Novela,37.78692684646371,-122.40124617735732,Nightlife Spot,0.1258518519388694
The Pink Elephant,37.78681314613732,-122.40045559116204,Nightlife Spot,0.12804741083020785
Natoma Cabana,37.78760015732102,-122.39850240056661,Nightlife Spot,0.1344700632105449
Bluestone Lane,37.7878125,-122.4029131,Nightlife Spot,0.14176361505657087
Galleria Park Hotel Lobby,37.7896955,-122.4034456,Nightlife Spot,0.1732052619531906
The Lark,37.78704127265531,-122.40299624782432,Nightlife Spot,0.17434668288250452
The Treasury,37.79122902447101,-122.40082101696274,Nightlife Spot,0.17721322436316894
Kona’s Street Market Bar,37.78704,-122.403241,Nightlife Spot,0.18485520212357576
Kona's Street Market,37.787064,-122.40327,Nightlife Spot,0.18512478073695388
Temple Nightclub,37.787898354727325,-122.39722701763962,Nightlife Spot,0.18988493299565484
Gold Club,37.7859444,-122.3996934,Nightlife Spot,0.19370928981863295
MaSo,37.78652,-122.4031,Nightlife Spot,0.20323399965723213
Pagan Idol,37.790726,-122.403643,Nightlife Spot,0.2205796307574432
W SF Events (3rd Floor),37.785483,-122.400088,Nightlife Spot,0.2211627449554534
ThirstyBear Brewing Company,37.785488302709865,-122.39961423948463,Nightlife Spot,0.22529751656571725
Sam’s Tavern,37.790932,-122.403559,Nightlife Spot,0.22662471622184083
Toy Soldier,37.79145871851356,-122.40383347056067,Nightlife Spot,0.26302640044587244
Whispers Bar & Grill,37.785977,-122.396779,Nightlife Spot,0.2778967781156504
The Occidental Cigar Club,37.79179551117991,-122.40378011785673,Nightlife Spot,0.2786127638394985
B Restaurant & Bar,37.78465243491517,-122.40166780064136,Nightlife Spot,0.28352700189945135
Café de la Presse,37.790493,-122.405492,Nightlife Spot,0.29794009774005814
The Fly Trap,37.785423478645654,-122.3969291403929,Nightlife Spot,0.299202573684445
ALX by Alexander's Steakhouse,37.784679,-122.398408,Nightlife Spot,0.2992232454886314
The View,37.785349005911556,-122.40436221777719,Nightlife Spot,0.3094383870259899
B55 Craft House & Kitchen,37.78497895324267,-122.4042480853791,Nightlife Spot,0.32484635443061355
Perbacco,37.79328790074778,-122.39913383967941,Nightlife Spot,0.3280188207605995
Wayfare Tavern,37.793903,-122.402272,Nightlife Spot,0.37303310915248833
Elements By One65,37.786449,-122.406938,Nightlife Spot,0.38126358690136286
hi5,37.788668,-122.400558,Tech startups,0.0
Twilio,37.7898499,-122.4006831,Tech startups,0.08179979972103674
LiveRail,37.787183,-122.397759,Tech startups,0.1842797448029192
99designs,37.7955307,-122.4005983,Tech startups,0.473308887001428
Canopy Financial,37.791388,-122.392148,Tech startups,0.49705297288546707
Minted,37.797435,-122.403175,Tech startups,0.6213711654929399
ZoomSystems,37.781689,-122.391061,Tech startups,0.7084403424400657
Cloudmark,37.779507,-122.39071,Tech startups,0.8305127552951553
GitHub,37.775196,-122.419204,Tech startups,1.3802133056614072
Wikimedia Foundation,37.76785,-122.392839,Tech startups,1.4966490604270666
Sunrise Deli,37.78861080016589,-122.40053225084378,Vegan restaurants,0.004189114153864005
Dosa Brothers,37.78902086125703,-122.40184795457114,Vegan restaurants,0.07467915409149
Mixt,37.788844,-122.399149,Vegan restaurants,0.07806786055373763
Ginto Izakaya Japonaise,37.788313,-122.402916,Vegan restaurants,0.13136206952408672
sweetgreen,37.7872625,-122.3986346,Vegan restaurants,0.14310416968337303
WeTheTrillions.,37.790158,-122.40243899999999,Vegan restaurants,0.1454611265331197
Mixt,37.79158868733382,-122.40078673484405,Vegan restaurants,0.20182129790863854
Fang,37.78566749810606,-122.39970283233973,Vegan restaurants,0.2121646764662739
The Plant Cafe Organic,37.79188755556935,-122.40249870982906,Vegan restaurants,0.24614268894106509
Delarosa,37.7862298,-122.4042347,Vegan restaurants,0.26224786947976503
Mixt,37.78575139510038,-122.40412370868718,Vegan restaurants,0.2802697430618792
Amber,37.785967464712556,-122.40456727431445,Vegan restaurants,0.2878262033800906
The Plant Cafe Organic,37.79252480866014,-122.39846488908981,Vegan restaurants,0.28961507082927207
Elixiria,37.792053,-122.396844,Vegan restaurants,0.3095500400936639
MyCompany,37.788668,-122.400558,my_location,0.0
Starbucks,37.788791650635936,-122.40071024847565,starbucks,0.011923223971605636
Starbucks,37.787902093486046,-122.40114386977035,starbucks,0.06179395829457345
Starbucks,37.789594,-122.402032,starbucks,0.10289394472936389
Starbucks,37.79110449587187,-122.40095109449513,starbucks,0.1694108588309989
Starbucks,37.78736,-122.40318,starbucks,0.1695083312101092
Starbucks,37.78946201,-122.3975822,starbucks,0.17183240994969215
Starbucks,37.78965079521804,-122.3966218114947,starbucks,0.22584830116339227
Starbucks,37.79081741920106,-122.40402558176096,starbucks,0.2408205349771726
Starbucks,37.791912,-122.398364,starbucks,0.25391912783937465
Starbucks,37.78479367728659,-122.39997391499341,starbucks,0.2691080792980405
Starbucks,37.791939,-122.397402,starbucks,0.28412814410679876
Starbucks,37.79011,-122.39561,starbucks,0.2884986408478774
Starbucks,37.78578235753868,-122.39668675186688,starbucks,0.29069553905098827
Starbucks,37.79219,-122.40354,starbucks,0.29264228916604207
Starbucks,37.79306,-122.39976,starbucks,0.30603806045153303
Starbucks,37.79042546,-122.4057733,starbucks,0.310112788890659
